county,case_number,case_id,case_created_at,case_status,case_decision_date,case_title,municipality,handling_number,handling_id,handling_date,handling_title,sender_recipient,case_kind,direct_supervision,target_organisation_name,target_identifiable,trigger_family,problem_domain,mandatory_action_likelihood,external_purchase_likelihood,metadata_specificity,timing_quality,commercial_relevance,likely_supplier_categories,document_required_for_understanding,supplier_already_engaged,manual_notes
Jönköping,6484-2026,5594006,2026-08-31,Handläggning,,Information om kontrollprogram för avloppsreningsverket i Gislaved,Gislaved,6484-2026-1,,2026-08-31,Information om kontrollprogram för avloppsreningsverket i Gislaved,Personuppgift,DIRECT_SUPERVISION,YES,,FACILITY_ONLY,CONTROL_PROGRAMME,WASTEWATER,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,"process/VA engineering consultants; treatment equipment & service (pumps, scrapers, dosing); sampling labs",DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Jönköping,6485-2026,5594010,2026-08-31,Handläggning,,Information om kontrollprogram,Gislaved,6485-2026-1,,2026-08-31,Information om kontrollprogram,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Jönköping,7037-2026,5611432,2026-09-15,Avslutat,2026-09-21,"Underrättelse om tillsyn enligt miljöbalken, Aneby kommun",Handlingar,7037-2026-2,,2026-09-21,Underrättelse om brister i miljöbalkstillsynen,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,INVESTIGATION_REQUIRED,GENERAL_SUPERVISION,HIGH,HIGH,SPECIFIC,EARLY,UNKNOWN,environmental consultants (compliance / egenkontroll); EHS software,METADATA_SUFFICIENT,NO,"Rule-based classification, not individually reviewed."
Skåne,23703-2026,5574546,2026-08-05,Avslutat,2026-09-08,Ansökan om undantag från krav på kontroll av avloppsvatten gällande felaktig provtagning,Bromölla,23703-2026-1,,2026-08-05,"Anmälan om driftstörning vid Bromölla avloppsreningsverk, Omanalys av COD-Cr, fosfor, kväve, nitratkväve och ammoniumkväve bekräftar inom mätosäkerheten de ursprungliga resultaten",Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,INCIDENT_REPORT,WASTEWATER,MEDIUM,LOW,SPECIFIC,TIMELY,UNKNOWN,"process/VA engineering consultants; treatment equipment & service (pumps, scrapers, dosing); sampling labs",DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Skåne,24835-2026,5585155,2026-08-20,Avslutat,2026-08-25,"Planerat tillsynsbesök på Blackatorpamossen, Osby kommun",Handlingar,24835-2026-2,,2026-08-25,Tillsynsrapport efter tillsynsbesök den 2026-08-19,Personuppgift,DIRECT_SUPERVISION,YES,,FACILITY_ONLY,INSPECTION_REPORT,GENERAL_SUPERVISION,MEDIUM,MEDIUM,GENERIC,TIMELY,UNKNOWN,environmental consultants (compliance / egenkontroll); EHS software,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Skåne,24885-2026,5585668,2026-08-21,Avslutat,2026-09-18,"Planerat tillsynsbesök på Hagnarpsmossen, Hässleholm kommun",Hässleholm,24885-2026-2,,2026-09-18,Tillsynsrapport efter tillsynsbesök 2026-08-19,Personuppgift,DIRECT_SUPERVISION,YES,,FACILITY_ONLY,INSPECTION_REPORT,GENERAL_SUPERVISION,MEDIUM,MEDIUM,GENERIC,TIMELY,UNKNOWN,environmental consultants (compliance / egenkontroll); EHS software,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Skåne,25166-2026,5587895,2026-08-24,Avslutat,2026-08-25,"Förslag till kontrollprogram för Blackatorpamossen, Osby kommun",Handlingar,25166-2026-1,,2026-08-24,Förslag till kontrollprogram,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Skåne,25166-2026,5587895,2026-08-24,Avslutat,2026-08-25,"Förslag till kontrollprogram för Blackatorpamossen, Osby kommun",Handlingar,25166-2026-2,,2026-08-25,Beslut angående redovisat kontrollprogram Blackatorp,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Skåne,25444-2026,5591033,2026-08-27,Handläggning,,"Beslut om kompletterande bidrag till åtgärdsförberedelser, F d kemtvätt på Blekingegatan, Helsingborg",Handlingar,25444-2026-2,,2026-09-09,Beslut om bidrag 2026,SGU,DIRECT_SUPERVISION,YES,,FACILITY_ONLY,GRANT_APPLICATION,CONTAMINATED_LAND,LOW,MEDIUM,SPECIFIC,EARLY,UNKNOWN,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Municipal grant application for contaminated-land work.
Skåne,27169-2026,5607046,2026-09-10,Handläggning,,Begäran om uppföljning av åtgärdsplan för växtskyddsmedel svar senast 2026-10-12,Handlingar,27169-2026-1,,2026-09-10,Begäran om uppföljning av åtgärdsplan för växtskyddsmedel svar senast 2026-10-12,Jordbruksverket,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,INFORMATION_REQUEST,UNKNOWN,MEDIUM,MEDIUM,SPECIFIC,TIMELY,UNKNOWN,-,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Request for supplementary information; content unknown.
Skåne,28209-2026,5615341,2026-09-17,Handläggning,,"Planerad tillsyn rörande tolkning av villkor 10,12, 24 och U1 i nya tillståndet.",Eslöv,28209-2026-2,,2026-09-07,Angående Örtoftas tolkning av villkor 10 i nya tillståndet,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,PERMIT_CONDITION_FOLLOWUP,PERMIT_CONDITIONS,MEDIUM,LOW,SPECIFIC,TIMELY,UNKNOWN,environmental consultants (permits); environmental law,DOCUMENT_REQUIRED,NO,"Rule-based classification, not individually reviewed."
Skåne,28209-2026,5615341,2026-09-17,Handläggning,,"Planerad tillsyn rörande tolkning av villkor 10,12, 24 och U1 i nya tillståndet.",Eslöv,28209-2026-3,,2026-09-09,Örtoftas tolkning av villkor i nytt miljötillstånd - komplettering.,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,PERMIT_CONDITION_FOLLOWUP,PERMIT_CONDITIONS,MEDIUM,LOW,SPECIFIC,TIMELY,UNKNOWN,environmental consultants (permits); environmental law,DOCUMENT_REQUIRED,NO,"Rule-based classification, not individually reviewed."
Skåne,28209-2026,5615341,2026-09-17,Handläggning,,"Planerad tillsyn rörande tolkning av villkor 10,12, 24 och U1 i nya tillståndet.",Eslöv,28209-2026-5,,2026-09-16,Frågeställningar villkor 10 samt skissförslag för struktur till villkor 12,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,PERMIT_CONDITION_FOLLOWUP,PERMIT_CONDITIONS,MEDIUM,LOW,SPECIFIC,TIMELY,UNKNOWN,environmental consultants (permits); environmental law,DOCUMENT_REQUIRED,NO,"Rule-based classification, not individually reviewed."
Skåne,29004-2026,5621342,2026-09-16,Handläggning,,Uppföljning av Sjöbo kommuns tillsyn enligt miljöbalken,Handlingar,29004-2026-2,,2026-09-22,Begäran om uppgift,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,INFORMATION_REQUEST,MUNICIPAL_OVERSIGHT,MEDIUM,LOW,GENERIC,TIMELY,UNKNOWN,-,DOCUMENT_REQUIRED,NO,Rule-based. Request for supplementary information; content unknown.
Skåne,29009-2026,5621371,2026-09-16,Handläggning,,Uppföljning av Ystad-Österlenregionens miljöförbunds tillsyn enligt miljöbalken,Handlingar,29009-2026-2,,2026-09-22,Begäran om uppgift,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,INFORMATION_REQUEST,MUNICIPAL_OVERSIGHT,MEDIUM,LOW,GENERIC,TIMELY,UNKNOWN,-,DOCUMENT_REQUIRED,NO,Rule-based. Request for supplementary information; content unknown.
Stockholm,39499-2026,5568329,2026-07-23,Handläggning,,"Anmälan om driftstörning vid Salmunge avfallsanläggning, Mindre incident med oljespill, Norrtälje kommun",Norrtälje,39499-2026-1,,2026-07-23,"Anmälan om driftstörning vid Salmunge avfallsanläggning, Mindre incident med oljespill, Norrtälje kommun",Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,,FACILITY_ONLY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,UNKNOWN,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Stockholm,39696-2026,5569371,2026-07-27,Handläggning,,"Anmälan om driftstörning vid Ekebyhov ARV, Tömning av bassäng för inspektion av skrapspel, Ekerö kommun",Ekerö,39696-2026-2,,2026-07-31,Meddelande om driftstörning åtgärdad,Personuppgift,DIRECT_SUPERVISION,YES,,FACILITY_ONLY,INCIDENT_REPORT,WASTEWATER,MEDIUM,LOW,GENERIC,TIMELY,UNKNOWN,"process/VA engineering consultants; treatment equipment & service (pumps, scrapers, dosing); sampling labs",DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Stockholm,43493-2026,5589653,2026-08-26,Handläggning,,"Utredning av PFAS - Verifierande provtagning 2026, Brukets skidbacke",Handlingar,43493-2026-3,,2026-09-17,Redovisning av provtagningsplan,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,CONTAMINATED_LAND_PFAS,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Stockholm,44292-2026,5593936,2026-08-31,Handläggning,,Förslag till uppdaterat kontrollprogram för Sturegallerian,Stockholm,44292-2026-1,,2026-08-31,Förslag till uppdaterat kontrollprogram för Sturegallerian,Sturegallerian AB: ombud: Sweco,DIRECT_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,YES,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Stockholm,44292-2026,5593936,2026-08-31,Handläggning,,Förslag till uppdaterat kontrollprogram för Sturegallerian,Stockholm,44292-2026-3,,2026-09-07,Meddelande om synpunkter på kontrollprogram,Sturegallerian AB: ombud: Sweco,DIRECT_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,YES,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Stockholm,46496-2026,5607643,2026-09-11,Handläggning,,"Beslut om föreläggande om framtagande av provtagningsplan, Turinge-Berga skrot, Nykvarns kommun",Handlingar,46496-2026-2,,2026-09-11,Meddelande om förslag till föreläggande om framtagande av provtagningsplan (1),Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,ENFORCEMENT_ORDER_PROPOSED,WASTE,HIGH,HIGH,SPECIFIC,TIMELY,UNKNOWN,waste management consultants; waste handling equipment; environmental law,METADATA_SUFFICIENT,NO,"Rule-based classification, not individually reviewed."
Stockholm,46496-2026,5607643,2026-09-11,Handläggning,,"Beslut om föreläggande om framtagande av provtagningsplan, Turinge-Berga skrot, Nykvarns kommun",Handlingar,46496-2026-3,,2026-09-11,Meddelande om förslag till föreläggande om framtagande av provtagningsplan (2),Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,ENFORCEMENT_ORDER_PROPOSED,WASTE,HIGH,HIGH,SPECIFIC,TIMELY,UNKNOWN,waste management consultants; waste handling equipment; environmental law,METADATA_SUFFICIENT,NO,"Rule-based classification, not individually reviewed."
Uppsala,6246-2026,5590534,2026-08-25,Handläggning,,Förslag till kontrollprogram,Handlingar,6246-2026-1,,2026-08-25,Förslag till kontrollprogram,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Uppsala,6246-2026,5590534,2026-08-25,Handläggning,,Förslag till kontrollprogram,Handlingar,6246-2026-2,,2026-08-27,Begäran om komplettering av kontrollprogram,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,TIMELY,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Uppsala,6246-2026,5590534,2026-08-25,Handläggning,,Förslag till kontrollprogram,Handlingar,6246-2026-3,,2026-09-07,Förslag till kontrollprogram (nytt),Personuppgift,DIRECT_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Uppsala,6246-2026,5590534,2026-08-25,Handläggning,,Förslag till kontrollprogram,Handlingar,6246-2026-4,,2026-09-11,Begäran om yttrande,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,INFORMATION_REQUEST,MONITORING_CONTROL,MEDIUM,LOW,GENERIC,TIMELY,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_REQUIRED,NO,Rule-based. Request for supplementary information; content unknown.
Uppsala,6246-2026,5590534,2026-08-25,Handläggning,,Förslag till kontrollprogram,Handlingar,6246-2026-5,,2026-09-14,Yttrande över att kontrollprogrammet är nu justerat efter önskemål från UVA,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Uppsala,6301-2026,5592682,2026-08-13,Handläggning,,"Tillsyn över kommunal miljönämnd, Uppsala kommun",Handlingar,6301-2026-2,,2026-09-01,Begäran om uppgifter,"Uppsala kommun, Miljöförvaltningen",DIRECT_SUPERVISION,YES,,NONE,INFORMATION_REQUEST,MUNICIPAL_OVERSIGHT,MEDIUM,LOW,GENERIC,TIMELY,UNKNOWN,-,DOCUMENT_REQUIRED,NO,Rule-based. Request for supplementary information; content unknown.
Uppsala,6406-2026,5596363,2026-09-02,Handläggning,,Ansvarsutredningar för Sågdammsdeponin och Salabacketvätten Skomakargatan,Handlingar,6406-2026-4,,2026-09-11,Förfrågan om kostnader för genomförda utredningar vid Sågdammsdeponin inför skälighetsavvägning,Personuppgift,DIRECT_SUPERVISION,YES,,FACILITY_ONLY,INFORMATION_REQUEST,CONTAMINATED_LAND,MEDIUM,MEDIUM,SPECIFIC,TIMELY,UNKNOWN,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Request for supplementary information; content unknown.
Uppsala,6406-2026,5596363,2026-09-02,Handläggning,,Ansvarsutredningar för Sågdammsdeponin och Salabacketvätten Skomakargatan,Handlingar,6406-2026-5,,2026-09-11,Förfrågan om kostnader för genomförda utredningar vid Sågdammsdeponin inför skälighetsavvägning,Personuppgift,DIRECT_SUPERVISION,YES,,FACILITY_ONLY,INFORMATION_REQUEST,CONTAMINATED_LAND,MEDIUM,MEDIUM,SPECIFIC,TIMELY,UNKNOWN,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Request for supplementary information; content unknown.
Västernorrland,4894-2026,5555455,2026-07-06,Avslutat,2026-07-06,Tillsyn av Nybroprojektets arbete i och vid vatten,Handlingar,4894-2026-2,,2026-07-06,Nybron tillsyn 2026-06-25,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,INSPECTION_REPORT,WATER_ACTIVITY,MEDIUM,MEDIUM,GENERIC,TIMELY,UNKNOWN,hydrogeology / water consultants; dam safety consultants; environmental law,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Västernorrland,4894-2026,5555455,2026-07-06,Avslutat,2026-07-06,Tillsyn av Nybroprojektets arbete i och vid vatten,Handlingar,4894-2026-3,,2026-07-06,Följebrev med tillsynsrapporten enligt sändlista,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,INSPECTION_REPORT,WATER_ACTIVITY,MEDIUM,MEDIUM,GENERIC,TIMELY,UNKNOWN,hydrogeology / water consultants; dam safety consultants; environmental law,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Västernorrland,5206-2026,5565328,2026-07-17,Avslutat,2026-07-17,Tillsyn 2026-07-14 av genomfört trumbyte Masugnsbäcken,Handlingar,5206-2026-1,,2026-07-17,Tillsyn 2026-07-14 av genomfört trumbyte Masugnsbäcken,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,INSPECTION_REPORT,GENERAL_SUPERVISION,MEDIUM,MEDIUM,GENERIC,TIMELY,UNKNOWN,environmental consultants (compliance / egenkontroll); EHS software,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Västernorrland,5303-2026,5570212,2026-07-28,Handläggning,,"Information om genomförandet av tillsynsvägledande och uppföljande Sevesomöte samt begäran om handlingar, inskickas senast 3 september 2026, MCF 2026-12236",Handlingar,5303-2026-1,,2026-07-28,"Information om genomförandet av tillsynsvägledande och uppföljande Sevesomöte samt begäran om handlingar, inskickas senast 3 september 2026, MCF 2026-12236",Myndigheten för civilt försvar MCF,DIRECT_SUPERVISION,YES,,NONE,SEVESO_DOCUMENT,CHEMICALS_SEVESO,MEDIUM,LOW,SPECIFIC,LATE,UNKNOWN,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Seveso programme submitted for review; already produced.
Västernorrland,5303-2026,5570212,2026-07-28,Handläggning,,"Information om genomförandet av tillsynsvägledande och uppföljande Sevesomöte samt begäran om handlingar, inskickas senast 3 september 2026, MCF 2026-12236",Handlingar,5303-2026-3,,2026-09-02,Yttrande över Västernorrlands arbete med Sevesolagen,Myndigheten för civilt försvar MCF,DIRECT_SUPERVISION,YES,,NONE,SEVESO_DOCUMENT,CHEMICALS_SEVESO,MEDIUM,LOW,SPECIFIC,LATE,UNKNOWN,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Seveso programme submitted for review; already produced.
Västernorrland,5303-2026,5570212,2026-07-28,Handläggning,,"Information om genomförandet av tillsynsvägledande och uppföljande Sevesomöte samt begäran om handlingar, inskickas senast 3 september 2026, MCF 2026-12236",Handlingar,5303-2026-4,,2026-09-10,Information om dagordning,Myndigheten för civilt försvar MCF,DIRECT_SUPERVISION,YES,,NONE,SUPERVISION_VISIT_SCHEDULED,CHEMICALS_SEVESO,LOW,MEDIUM,GENERIC,EARLY,UNKNOWN,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Planned visit; possible pre-visit compliance need but no concrete problem in metadata.
Västernorrland,5326-2026,5571494,2026-07-30,Handläggning,,Anmälan om klagomål om buller gällande täktverksamhet Kittjärn,Handlingar,5326-2026-2,,2026-07-30,Begäran om yttrande över klagomål,Personuppgift,COMPLAINT,PARTIAL,,NONE,COMPLAINT_RECEIVED,NOISE,LOW,MEDIUM,GENERIC,EARLY,UNKNOWN,acoustic consultants; noise abatement suppliers,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Complaint entry; only becomes a purchase if Länsstyrelsen demands measurements or measures.
Västernorrland,5910-2026,5597285,2026-09-03,Handläggning,,Uppföljning och utvärdering över Kramfors kommuns tillsyn enligt miljöbalken,Handlingar,5910-2026-2,,2026-09-03,Begäran om handlingar samt datum för bokning av besök,Personuppgift,DIRECT_SUPERVISION,YES,,NONE,INFORMATION_REQUEST,MUNICIPAL_OVERSIGHT,MEDIUM,LOW,GENERIC,TIMELY,UNKNOWN,-,DOCUMENT_REQUIRED,NO,Rule-based. Request for supplementary information; content unknown.
Västernorrland,5955-2026,5599463,2026-09-02,Beslutat,2026-09-11,"§ 28 anmälan om efterbehandlingsåtgärder (pilotförsök) vid Sundsvall-Timrå Airport, Timrå kommun",Handlingar,5955-2026-1,,2026-09-02,"§ 28 anmälan om efterbehandlingsåtgärder (pilotförsök) vid Sundsvall-Timrå Airport, Timrå kommun",Sveriges geologiska undersökning SGU,CONTAMINATED_SITE_SUPERVISION,YES,,FACILITY_ONLY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,UNKNOWN,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Västernorrland,5955-2026,5599463,2026-09-02,Beslutat,2026-09-11,"§ 28 anmälan om efterbehandlingsåtgärder (pilotförsök) vid Sundsvall-Timrå Airport, Timrå kommun",Handlingar,5955-2026-2,,2026-09-08,Begäran om komplettering,Sveriges geologiska undersökning SGU,CONTAMINATED_SITE_SUPERVISION,YES,,FACILITY_ONLY,INFORMATION_REQUEST,CONTAMINATED_LAND,MEDIUM,LOW,GENERIC,LATE,UNKNOWN,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_REQUIRED,NO,Rule-based. Request for supplementary information; content unknown.
Västra Götaland,28499-2026,5552442,2026-07-02,Handläggning,,Ansökan till Naturvårdsverket om statligt stöd enligt förordningen (2004:100) om avhjälpande av föroreningsskador vid,Handlingar,28499-2026-1,,2026-07-02,Ansökan till NV om statligt stöd enligt förordningen (2022:98) om avhjälpande av föroreningsskador vid Älmestads sågverk,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,,FACILITY_ONLY,GRANT_APPLICATION,CONTAMINATED_LAND,LOW,MEDIUM,SPECIFIC,EARLY,UNKNOWN,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Municipal grant application for contaminated-land work.
Västra Götaland,29422-2026,5558529,2026-07-08,Handläggning,,Verifierande provtagning sediment objekt 8 - Simmatorpsdammen i Skara kommun,Handlingar,29422-2026-4,,2026-08-24,Förslag till provtagningsplan,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Västra Götaland,29422-2026,5558529,2026-07-08,Handläggning,,Verifierande provtagning sediment objekt 8 - Simmatorpsdammen i Skara kommun,Handlingar,29422-2026-5,,2026-08-26,Meddelande om synpunkter på provtagningsplan,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Västra Götaland,29422-2026,5558529,2026-07-08,Handläggning,,Verifierande provtagning sediment objekt 8 - Simmatorpsdammen i Skara kommun,Handlingar,29422-2026-7,,2026-09-07,Meddelande om provtagningsplan,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Västra Götaland,29422-2026,5558529,2026-07-08,Handläggning,,Verifierande provtagning sediment objekt 8 - Simmatorpsdammen i Skara kommun,Handlingar,29422-2026-8,,2026-09-02,Meddelande om provtagningsplan,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Västra Götaland,29427-2026,5558551,2026-07-08,Handläggning,,Verifierande provtagning sediment objekt 9 - Stora Valsjön i Karlsborgs kommun,Handlingar,29427-2026-3,,2026-07-13,Förslag till provtagningsplan - fastställd,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Västra Götaland,29429-2026,5558559,2026-07-08,Handläggning,,Verifierande provtagning sediment objekt 10 - Vättern Breviken i Karlsborgs kommun,Handlingar,29429-2026-3,,2026-07-13,Förslag till provtagningsplan - fastställd,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
Västra Götaland,29533-2026,5559404,2026-07-09,Handläggning,,Verifierande provtagning sediment objekt 7 - Ryrsjön i Vänersborgs kommun,Handlingar,29533-2026-3,,2026-07-13,Förslag till provtagningsplan - fastställd,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,,NONE,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,LATE,UNKNOWN,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,"Rule-based. Control-programme proposal submitted by operator, typically already prepared with consultant."
