source_process,document_type,case_number,case_title,case_status,document_number,document_date,organisation_name,organisation_number,workplace_name,workplace_cfar,county,municipality,deficiency_family,specificity,deficiency_detail,required_action,purchase_type,supplier_category,incumbent_risk,purchase_value,timing,metadata_sufficiency,earliest_public_title,earliest_public_date,days_before_sanction,inspection_message_before,chronology_sampled
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/060324,"Inspektion - Omedelbart förbud 20250930 - Arbetsutrustning - MASONITVÄGEN 2, RUNDVIK",Avslutat,2025/060324-1,2025-09-30,,,Saknas,72211683,,,WORK_EQUIPMENT_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,arbetsutrustning,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Machine safety / equipment service,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20250930 - Arbetsutrustning - MASONITVÄGEN 2, RUNDVIK",2025-09-30,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/031585,"Inspektion - Omedelbart förbud 20250515 - Fallrisk - Södra Bangårdsgatan 5, byggarbetsplats resecentrum Nyköping",Pågående,2025/031585-7,2025-10-01,TRAFIKVERKET,2021006297,TRAFIKVERKET,43401041,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20250515 - Fallrisk - Södra Bangårdsgatan 5, byggarbetsplats resecentrum Nyköping",2025-10-01,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/059369,Olycksfall 20250924. Maskin eller transportanordning,Avslutat,2025/059369-3,2025-10-01,AMO SPECIALKABEL AB,5564477650,AMO SPECIALKABEL AB,30519516,,,PROHIBITION_UNTYPED,GENERIC,,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,-,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Olycksfall 20250924. Maskin eller transportanordning,2025-10-01,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/060499,"Inspektion - Omedelbart förbud 20251001 - Arbetsutrustning - VÄSTRA KYRKOGATAN 1, HÄRNÖSAND",Avslutat,2025/060499-1,2025-10-01,K & J CAFÉ AB,5591216741,K & J CAFÉ AB,59201426,,,WORK_EQUIPMENT_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,arbetsutrustning,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Machine safety / equipment service,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251001 - Arbetsutrustning - VÄSTRA KYRKOGATAN 1, HÄRNÖSAND",2025-10-01,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/060576,Inspektion - Omedelbart förbud 20251001 - Fallrisk - Alingsåsväge 40 Lerum,Avslutat,2025/060576-1,2025-10-01,SED TAK AB,5593619991,SED TAK AB,68567122,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion - Omedelbart förbud 20251001 - Fallrisk - Alingsåsväge 40 Lerum,2025-10-01,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/060597,"Inspektion - Omedelbart förbud 20251001 - Fallrisk - Ryttarhagsleden 3, Mjölby",Avslutat,2025/060597-1,2025-10-01,TAKEX AB,5591581532,TAKEX AB,59608893,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251001 - Fallrisk - Ryttarhagsleden 3, Mjölby",2025-10-01,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/060703,"Inspektion - Omedelbart förbud 20251001 - Arbetsutrustning - SJÖGATAN 6, SUNDSVALL",Avslutat,2025/060703-1,2025-10-01,SAADO JAGHLIT AB,5593220295,SAADO JAGHLIT AB,67674945,,,WORK_EQUIPMENT_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,arbetsutrustning,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Machine safety / equipment service,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251001 - Arbetsutrustning - SJÖGATAN 6, SUNDSVALL",2025-10-01,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/050872,Inspektion inom EU-kampanjen 2025 – Teknikens påverkan på arbetsmiljön,Avslutat,2025/050872-2,2025-10-02,TEGO SYSTEM AKTIEBOLAG,5561249102,TEGO SYSTEM AKTIEBOLAG,28373405,,,PROHIBITION_UNTYPED,GENERIC,,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,-,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion inom EU-kampanjen 2025 – Teknikens påverkan på arbetsmiljön,2025-10-02,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/057847,"Inspektion - Omedelbart förbud 20250920 - Rörliga delar bagerimaskin - Danska vägen 55 , MALMÖ",Avslutat,2025/057847-1,2025-10-02,MULTIFOOD SVERIGE AB,5566367511,MULTIFOOD SVERIGE AB,42457622,,,OTHER_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,rörliga delar bagerimaskin,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,-,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20250920 - Rörliga delar bagerimaskin - Danska vägen 55 , MALMÖ",2025-10-02,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/060784,Inspektion - Omedelbart förbud 20251002 - Fallrisk - Honungsvägen 21 Halmstad,Avslutat,2025/060784-1,2025-10-02,ARVIDSSONS SNICKERI MJÖBÄCK AB,5565617064,ARVIDSSONS SNICKERI MJÖBÄCK AB,38932364,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion - Omedelbart förbud 20251002 - Fallrisk - Honungsvägen 21 Halmstad,2025-10-02,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/060812,"Inspektion - Omedelbart förbud 20251002 - Fallrisk - Kavelvägen 4, Halmstad",Avslutat,2025/060812-1,2025-10-02,KOPERNICUS AB,5569555369,KOPERNICUS AB,54068804,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251002 - Fallrisk - Kavelvägen 4, Halmstad",2025-10-02,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/060831,"Inspektion - Omedelbart förbud 20251002 - Fallrisk - Persiljegränd 4, Mönsterås",Avslutat,2025/060831-1,2025-10-02,MA BYGG I BLOMSTERMÅLA AB,5592407745,MA BYGG I BLOMSTERMÅLA AB,65603219,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251002 - Fallrisk - Persiljegränd 4, Mönsterås",2025-10-02,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/060832,Inspektion - Omedelbart förbud 20251002 - Fallrisk - Brosslarvägen 21,Pågående,2025/060832-1,2025-10-02,PILGRIMSTA HUS BYGG AB,5565606430,PILGRIMSTA HUS BYGG AB,37845062,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion - Omedelbart förbud 20251002 - Fallrisk - Brosslarvägen 21,2025-10-02,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/060924,"Inspektion - Omedelbart förbud 20251002 - Fallrisk - Kylegatan 15, Kalmar",Avslutat,2025/060924-1,2025-10-02,RESEMANN BYGG AB,5591688493,RESEMANN BYGG AB,59950394,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251002 - Fallrisk - Kylegatan 15, Kalmar",2025-10-02,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/061050,"Inspektion - Omedelbart förbud 20251002 - Fallrisk, Grottvägen 5, Enköping",Avslutat,2025/061050-3,2025-10-02,,,Saknas,,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,"fallrisk, grottvägen 5, enköping",Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251002 - Fallrisk, Grottvägen 5, Enköping",2025-10-02,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/057194,"Inspektion - Omedelbart förbud 20250916 - Fallrisk - Göingevägen 22, Eslöv",Avslutat,2025/057194-3,2025-10-03,,,Saknas,67565523,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20250916 - Fallrisk - Göingevägen 22, Eslöv",2025-10-03,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/061891,Inspektion - Omedelbart förbud 20251007 - Fallrisk - Vallenbergs gata tekniska verken linköping,Avslutat,2025/061891-1,2025-10-07,BALCKS & HJELMGRENS PLÅT OCH SMIDE AB,5565536272,BALCKS & HJELMGRENS PLÅT OCH SMIDE AB,25886698,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion - Omedelbart förbud 20251007 - Fallrisk - Vallenbergs gata tekniska verken linköping,2025-10-07,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/061952,"Inspektion - Omedelbart förbud 20251007 - Arbetsutrustning - TORBORNAVÄGEN 17, HELSINGBORG",Avslutat,2025/061952-1,2025-10-07,TEAM TRAILERSERVICE I SKÅNE AB,5566298583,TEAM TRAILERSERVICE I SKÅNE AB,41406067,,,WORK_EQUIPMENT_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,arbetsutrustning,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Machine safety / equipment service,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251007 - Arbetsutrustning - TORBORNAVÄGEN 17, HELSINGBORG",2025-10-07,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/061985,Inspektion - Omedelbart förbud 20251007 - Fallrisk - Uppsalavägen 25,Avslutat,2025/061985-1,2025-10-07,,,Saknas,,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion - Omedelbart förbud 20251007 - Fallrisk - Uppsalavägen 25,2025-10-07,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/061991,Inspektion - Omedelbart förbud 20251007 - Fallrisk - Forsaström gård,Avslutat,2025/061991-1,2025-10-07,TRYGGA TAK LINKÖPING AB,5595128058,TRYGGA TAK LINKÖPING AB,72319668,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion - Omedelbart förbud 20251007 - Fallrisk - Forsaström gård,2025-10-07,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062046,Inspektion - Omedelbart förbud 20251007 - Fallrisk - Uddehollmsvägen 47,Avslutat,2025/062046-1,2025-10-07,GUNNARSSONS BYGG OCH PLÅT VÄRMLAND AB,5591123343,GUNNARSSONS BYGG OCH PLÅT VÄRMLAND AB,58498064,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion - Omedelbart förbud 20251007 - Fallrisk - Uddehollmsvägen 47,2025-10-07,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062101,"Inspektion - Omedelbart förbud 20251007 - Fallrisk - Aspån 1, Vallentuna",Avslutat,2025/062101-1,2025-10-07,BN TAK AB,5594928896,BN TAK AB,71837819,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251007 - Fallrisk - Aspån 1, Vallentuna",2025-10-07,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/047868,Inspektion inom EU-kampanjen 2025 – Teknikens påverkan på arbetsmiljön,Avslutat,2025/047868-4,2025-10-08,KLIMATKONSULT EL OCH SERVICE KOS AKTIEBOLAG,5564346194,KLIMATKONSULT EL OCH SERVICE KOS AKTIEBOLAG,30152870,,,PROHIBITION_UNTYPED,GENERIC,,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,-,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion inom EU-kampanjen 2025 – Teknikens påverkan på arbetsmiljön,2025-10-08,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/053553,"Inspektion - Omedelbart förbud 20250904 - Fallrisk - Rambogatan 246, Norrköping",Avslutat,2025/053553-8,2025-10-09,NORRKÖPINGS KOMMUN,2120000456,ROSEN FÖRVALTNINGSHUSET,19508183,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20250904 - Fallrisk - Rambogatan 246, Norrköping",2025-10-09,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062646,"Inspektion - Omedelbart förbud 20251009 - Fallrisk - Gullvivevägen 8, Rottne",Avslutat,2025/062646-1,2025-10-09,,,Saknas,50544311,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251009 - Fallrisk - Gullvivevägen 8, Rottne",2025-10-09,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062652,Inspektion inom Egna kontroller (Avdelning M),Avslutat,2025/062652-3,2025-10-09,NILSSON JESPER PLÅTSLAGERI AB,5593024564,NILSSON JESPER PLÅTSLAGERI AB,67171876,,,PROHIBITION_UNTYPED,GENERIC,,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,-,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion inom Egna kontroller (Avdelning M),2025-10-09,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062673,"Inspektion - Omedelbart förbud 20251009 - Arbetsutrustning - AXTORPSVÄGEN 1, UMEÅ",Avslutat,2025/062673-1,2025-10-09,GREAT WALL RESTAURANG HANDELSBOLAG,9696788190,GREAT WALL RESTAURANG HANDELSBOLAG,40450355,,,WORK_EQUIPMENT_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,arbetsutrustning,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Machine safety / equipment service,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251009 - Arbetsutrustning - AXTORPSVÄGEN 1, UMEÅ",2025-10-09,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062679,Inspektion - Omedelbart förbud 20251009 - Fallrisk - Brf Karlavagnen Vindelgatan 46-50 Borås,Avslutat,2025/062679-1,2025-10-09,RK TEKNIK I GUSUM AKTIEBOLAG,5564143955,RK TEKNIK I GUSUM AKTIEBOLAG,29572120,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion - Omedelbart förbud 20251009 - Fallrisk - Brf Karlavagnen Vindelgatan 46-50 Borås,2025-10-09,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062689,Inspektion - Omedelbart förbud 20251009 - Fallrisk - Vindelgatan 46_50 Borås,Avslutat,2025/062689-1,2025-10-09,ALURAL BALKONGBEKLÄDNAD AKTIEBOLAG,5563250264,ALURAL BALKONGBEKLÄDNAD AKTIEBOLAG,26769018,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion - Omedelbart förbud 20251009 - Fallrisk - Vindelgatan 46_50 Borås,2025-10-09,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062690,"Inspektion - Omedelbart förbud 20251009 - Fallrisk - Droppstensvägen 14, Örebro",Avslutat,2025/062690-1,2025-10-09,TAKVISION SVERIGE AB,5595158428,TAKVISION SVERIGE AB,72367774,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251009 - Fallrisk - Droppstensvägen 14, Örebro",2025-10-09,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062692,"Inspektion - Omedelbart förbud 20251009 - Arbetsutrustning - Axtorpsvägen 5A, Umeå",Avslutat,2025/062692-1,2025-10-09,,,Saknas,56213739,,,WORK_EQUIPMENT_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,arbetsutrustning,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Machine safety / equipment service,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251009 - Arbetsutrustning - Axtorpsvägen 5A, Umeå",2025-10-09,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062359,"Inspektion - Omedelbart förbud 20251010 - Fallrisk - Sexevägen 39, Uppåkra",Avslutat,2025/062359-3,2025-10-10,MPK BYGGENTREPRENAD AB,5594380247,MPK BYGGENTREPRENAD AB,70424205,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251010 - Fallrisk - Sexevägen 39, Uppåkra",2025-10-10,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/063201,"Inspektion - Omedelbart förbud 20251010 - Fallrisk - Säterivägen 5, Norrköping",Avslutat,2025/063201-1,2025-10-10,SMEDSUDDEN FASTIGHETER AB,5565471892,SMEDSUDDEN FASTIGHETER AB,43751403,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251010 - Fallrisk - Säterivägen 5, Norrköping",2025-10-10,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062252,"2025/062252 Inspektion- Omedelbart förbud - rörliga delar Våglängdsgatan 7, Borås",Avslutat,2025/062252-5,2025-10-13,ORIENTA PLUS AB,5593955585,ORIENTA PLUS AB,69378156,,,PROHIBITION_UNTYPED,GENERIC,,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,-,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"2025/062252 Inspektion- Omedelbart förbud - rörliga delar Våglängdsgatan 7, Borås",2025-10-13,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062301,"Inspektion 20251007 - omedelbart förbud - maskiner - Högagärdsgatan 2, Borås",Avslutat,2025/062301-2,2025-10-13,,,Saknas,54045976,,,PROHIBITION_UNTYPED,GENERIC,,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,-,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion 20251007 - omedelbart förbud - maskiner - Högagärdsgatan 2, Borås",2025-10-13,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/062864,"Inspektion - omedelbart förbud 251009 - fallrisk, rasrisk - Pernillas väg 15, Idre",Avslutat,2025/062864-1,2025-10-13,NYA GAMMELBYN FASTIGHETER AB,5594755091,Saknas,,,,PROHIBITION_UNTYPED,GENERIC,,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,-,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - omedelbart förbud 251009 - fallrisk, rasrisk - Pernillas väg 15, Idre",2025-10-13,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/063026,"Inspektion 20251010 - omedelbart förbud, fallrisker och ställning, Idre 11:8, Idre",Pågående,2025/063026-1,2025-10-13,KASPERSKYI BYGG AB,5592652985,KASPERSKYI BYGG AB,66346784,,,PROHIBITION_UNTYPED,GENERIC,,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,-,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion 20251010 - omedelbart förbud, fallrisker och ställning, Idre 11:8, Idre",2025-10-13,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/063742,Inspektion - Omedelbart förbud 20251014 - Fallrisk - Juneholmsgatan 10 55338 Jönköping,Avslutat,2025/063742-1,2025-10-14,NOLLTRESEX TAK & BYGG AB,5593284499,NOLLTRESEX TAK & BYGG AB,67834747,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion - Omedelbart förbud 20251014 - Fallrisk - Juneholmsgatan 10 55338 Jönköping,2025-10-14,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/063801,Inspektion inom Ett tryggt arbetsliv Fall kopplat till arbetsutrustning/ställningar/hissar,Avslutat,2025/063801-1,2025-10-14,KVALITETSBYGGEN KRISTIANSTAD AB,5567369284,KVALITETSBYGGEN KRISTIANSTAD AB,46067930,,,PROHIBITION_UNTYPED,GENERIC,,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,-,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion inom Ett tryggt arbetsliv Fall kopplat till arbetsutrustning/ställningar/hissar,2025-10-14,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/063876,"Inspektion - Omedelbart förbud 20251014 - Fallrisk - BYGGARBETSPLATS: Residensgatan 2, Mölndal",Avslutat,2025/063876-1,2025-10-14,PENTHON INSTALLATION AB,5590446414,PENTHON INSTALLATION AB,56544448,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20251014 - Fallrisk - BYGGARBETSPLATS: Residensgatan 2, Mölndal",2025-10-14,,,NO
6.1 Bedriva inspektion,6.1-55 Beslut om slutligt omedelbart förbud,2025/063950,Inspektion - Omedelbart förbud 20251014 - Fallrisk - Byvägen 4,Avslutat,2025/063950-1,2025-10-14,PANGHUS PRODUCTION AB,5567403760,PANGHUS PRODUCTION AB,46234324,,,FALL_RISK_PROHIBITION,SPECIFIC_BUT_AMBIGUOUS,fallrisk,Stop the prohibited work until the hazard is removed,EQUIPMENT_OR_METHOD,Fall protection / scaffolding / lift rental,MEDIUM,MEDIUM,TIMELY,DOCUMENT_HELPFUL,Inspektion - Omedelbart förbud 20251014 - Fallrisk - Byvägen 4,2025-10-14,,,NO
